replicate	queries	coverage	useful_correct_coverage	precision_among_evaluable_accepted
252	15342	0.5539043149524182	0.23921261895450396	0.4319679849340866
253	17772	0.8023857753769975	0.5343799234751294	0.6659887798036466
254	24129	0.4567947283351983	0.22582784201583156	0.494464609800363
255	18463	0.5468233764826951	0.2895520771272274	0.5295166402535658
256	19855	0.5674641148325359	0.38519264668849157	0.6790375566012607
257	19219	0.5899370414693793	0.34356626255268224	0.5825833774483854
258	24419	0.5869200212948933	0.36107129694090667	0.6152826238660154
259	16094	0.6349571268795825	0.4060519448241581	0.6394950582248752
260	20047	0.6006384995261136	0.48141866613458373	0.801644654871667
261	21204	0.6044142614601019	0.4128466327108093	0.683265688417109
262	19250	0.48103896103896104	0.26545454545454544	0.5518358531317494
263	16084	0.49838348669485205	0.2639890574483959	0.5303522358231326
264	19441	0.5646828866827838	0.434957049534489	0.7704081632653061
265	17750	0.5378028169014084	0.3555492957746479	0.6612531433361274
266	15601	0.5220819178257804	0.3988846868790462	0.7640270104358502
267	15815	0.671893771735694	0.44046791021182424	0.6558086989267558
268	15921	0.485647886439294	0.4013566986998304	0.8264355923435075
269	20274	0.5991417579165433	0.38635691032849956	0.6450629992588323
270	19829	0.656765343688537	0.3689545615008321	0.5618616081714154
271	24690	0.5	0.31737545565006076	0.6348537632666289
272	22846	0.6117482272607896	0.4347369342554495	0.7108502719725165
273	20132	0.5547883965825552	0.4222630637790582	0.761397223466189
274	16389	0.6033315028372689	0.3325401183720788	0.551173139158576
275	25377	0.5222839579146471	0.41029278480513853	0.7856927256263205
276	24539	0.5488406210522027	0.3941480907942459	0.7183600713012478
277	21886	0.4695695878643882	0.37188156812574247	0.791962635010217
278	24558	0.5890137633357765	0.43053180226402804	0.7309367438645005
279	14816	0.6614470842332614	0.36906047516198703	0.55830100061262
280	24872	0.5135493727886781	0.24698456095207463	0.48116237173964127
281	20622	0.6067306759771118	0.3652894966540588	0.602158273381295
282	19270	0.6	0.4225220550077841	0.7044471361827306
283	18806	0.6987131766457514	0.4053493565883229	0.5802253006545898
284	21555	0.5929482718626768	0.35578752029691485	0.6002191437739689
285	19515	0.7039200614911606	0.4805534204458109	0.6827812158718602
286	18726	0.5878991776140126	0.36088860407988893	0.6138613861386139
287	22338	0.6077088369594413	0.3118900528247829	0.5132984601782952
288	14278	0.4536349628799552	0.11051968062753888	0.2437065637065637
289	25549	0.4905867157227289	0.29586285177502053	0.6031758697733801
290	26054	0.5953020649420434	0.363974821524526	0.6114908434356461
291	23151	0.5500842296229105	0.3856420888946482	0.7010600706713781
292	24506	0.579286705296662	0.36754264261813435	0.6345639002395378
293	26846	0.5593011994338076	0.3098413171422186	0.5539793539793539
294	22468	0.663654975965818	0.4924336834609222	0.7420025484541614
295	26380	0.5967778620166793	0.35811220621683093	0.6001524680769964
296	22384	0.7001429592566119	0.4496962115796998	0.642455961194792
297	18761	0.632908693566441	0.46681946591333084	0.7379507920458376
298	17716	0.6367690223526755	0.381632422668774	0.5993263008598528
299	20419	0.6659973554042803	0.41118566041432	0.6177617541019792
300	22456	0.547069825436409	0.2848236551478447	0.5207196938858585
301	17923	0.5104056240584723	0.3824136584277186	0.7495625546806649
302	15788	0.40416772232074993	0.19027109196858374	0.47092020692898573
303	17107	0.600514409306132	0.37896767405155785	0.6313175576979257
304	23947	0.5788616528166367	0.4702885538898401	0.8125541125541126
