level	scope	group	queries	clusters	loss_queries	loss_fraction	expected_loss_fraction_given_budget	observed_minus_expected_pp	full_activity_candidates_q25	full_activity_candidates_median	full_activity_candidates_q75	scored_activity_candidates_q25	scored_activity_candidates_median	scored_activity_candidates_q75	full_matching_activities_q25	full_matching_activities_median	full_matching_activities_q75	full_matching_reference_proteins_q25	full_matching_reference_proteins_median	full_matching_reference_proteins_q75	realized_scored_fraction_q25	realized_scored_fraction_median	realized_scored_fraction_q75	best_modality_first_match_rank_q25	best_modality_first_match_rank_median	best_modality_first_match_rank_q75
EC_L4	MATCH_COUNT_X_RANK	1 | 1	1401	116	1258	0.8979300499643112	0.9063863709442986	-0.8456320979987386	90.0	123.0	138.0	8.0	11.0	14.0	1.0	1.0	1.0	1.0	1.0	1.0	0.072992700729927	0.09302325581395349	0.11206896551724138	1.0	1.0	1.0
EC_L4	MATCH_COUNT_X_RANK	1 | 2-5	126	45	119	0.9444444444444444	0.9040409725197283	4.040347192471616	122.0	131.5	144.0	10.0	12.0	15.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07577082240484934	0.09765266825600587	0.11404761904761904	2.0	3.0	5.0
EC_L4	MATCH_COUNT_X_RANK	1 | 6-10	31	16	28	0.9032258064516129	0.9004236184231927	0.28021880284201384	113.5	124.0	135.5	9.0	12.0	15.5	1.0	1.0	1.0	1.0	1.0	1.0	0.07349811753151089	0.09696969696969697	0.11734364925854288	7.0	7.0	8.0
EC_L4	MATCH_COUNT_X_RANK	1 | 11-20	41	19	38	0.926829268292683	0.9071883582886568	1.9640910004026124	115.0	130.0	141.0	8.0	11.0	15.0	1.0	1.0	1.0	1.0	1.0	1.0	0.06666666666666667	0.08029197080291971	0.11764705882352941	13.0	15.0	18.0
EC_L4	MATCH_COUNT_X_RANK	1 | 21-50	57	23	50	0.8771929824561403	0.9105448305778302	-3.3351848121689898	68.0	76.0	130.0	6.0	8.0	11.0	1.0	1.0	1.0	1.0	1.0	1.0	0.06936416184971098	0.09022556390977443	0.11842105263157894	29.0	39.0	45.0
EC_L4	MATCH_COUNT_X_RANK	2-5 | 1	7515	298	5538	0.7369261477045909	0.7348801171233335	0.20460305812574076	83.0	118.0	134.0	8.0	10.0	13.0	2.0	3.0	4.0	2.0	3.0	4.0	0.07563025210084033	0.09375	0.11382113821138211	1.0	1.0	1.0
EC_L4	MATCH_COUNT_X_RANK	2-5 | 2-5	646	53	480	0.7430340557275542	0.7477243756255219	-0.4690319897967643	129.25	139.0	151.0	10.0	13.0	16.0	3.0	3.0	3.0	2.0	3.0	3.0	0.07692307692307693	0.09427126059611704	0.11024352401511063	2.0	3.0	4.0
EC_L4	MATCH_COUNT_X_RANK	2-5 | 6-10	39	14	33	0.8461538461538461	0.7592619029634755	8.689194319037064	96.0	117.0	144.5	8.0	11.0	14.0	2.0	3.0	3.0	2.0	2.0	2.0	0.07148692810457516	0.09701492537313433	0.11407808010816292	7.0	7.0	8.0
EC_L4	MATCH_COUNT_X_RANK	2-5 | 11-20	26	13	21	0.8076923076923077	0.749684358868397	5.800794882391069	119.0	130.0	151.75	8.0	10.5	13.75	2.0	4.0	4.0	2.0	2.0	2.0	0.0694055944055944	0.08579074674489218	0.10274390243902438	12.0	14.0	17.75
EC_L4	MATCH_COUNT_X_RANK	2-5 | 21-50	29	12	24	0.8275862068965517	0.7852729709483	4.2313235948251755	126.0	138.0	150.0	9.0	12.0	16.0	2.0	2.0	3.0	2.0	2.0	2.0	0.07194244604316546	0.08552631578947369	0.10810810810810811	23.0	25.0	27.0
EC_L4	MATCH_COUNT_X_RANK	6-10 | 1	2048	184	1050	0.5126953125	0.4974749931124263	1.5220319387573678	72.0	110.0	131.0	6.0	9.0	12.0	6.0	7.0	8.0	4.0	6.0	8.0	0.07246376811594203	0.09090909090909091	0.11208910731550113	1.0	1.0	1.0
EC_L4	MATCH_COUNT_X_RANK	6-10 | 2-5	98	18	47	0.47959183673469385	0.518968559152087	-3.9376722417393095	86.0	91.0	125.0	7.25	9.0	13.0	6.0	6.0	7.0	2.0	2.0	4.0	0.07604895104895106	0.0932742178350343	0.11687840290381125	2.0	2.0	2.0
EC_L4	MATCH_COUNT_X_RANK	6-10 | 6-10	10	4	2	0.2	0.49981179882609467	-29.981179882609467	113.75	121.5	146.75	10.0	11.0	15.0	7.0	7.0	8.0	3.25	4.5	6.0	0.07439398161047645	0.08597285067873303	0.10342380391885342	7.0	7.5	8.0
EC_L4	MATCH_COUNT_X_RANK	6-10 | 11-20	6	4	3	0.5	0.5795301936582794	-7.95301936582794	116.75	127.0	133.5	9.0	9.0	9.0	6.25	7.5	8.0	3.0	3.5	4.0	0.06741858887381275	0.0693021766965429	0.07293350265527591	12.0	12.0	16.5
